student_id,course_id,instructor_id,classroom_id,timeslot_id
2facd9b7-5ed9-4e51-90bd-629e3f4286d1,11,6ddac491-3bfa-420a-8098-f3c741f530b6,1,33
2facd9b7-5ed9-4e51-90bd-629e3f4286d1,22,cff4ee54-8789-46e5-a995-15c0dea35275,11,14
2facd9b7-5ed9-4e51-90bd-629e3f4286d1,2,cd3a4bbc-f36c-4e3d-9158-9a39dcff7644,13,69
2facd9b7-5ed9-4e51-90bd-629e3f4286d1,16,6ddac491-3bfa-420a-8098-f3c741f530b6,22,22
2facd9b7-5ed9-4e51-90bd-629e3f4286d1,21,449de61b-f2b5-406f-8445-17b960996d0a,20,47
742bfaf3-68e9-4b41-85f3-1685751eda90,20,57a87455-1a19-4d48-90c9-bd9040670f85,9,4
742bfaf3-68e9-4b41-85f3-1685751eda90,4,a12b297c-6ca7-436c-8318-08b5a05e1eea,1,48
742bfaf3-68e9-4b41-85f3-1685751eda90,1,ba2adea1-5399-4c45-9c94-9f26f726f62e,18,15
742bfaf3-68e9-4b41-85f3-1685751eda90,8,79463069-f838-4edd-9438-cdc4c95e75a2,24,71
6b97e0b2-327d-4b55-84b7-b77c517fc087,16,8f8ceb3d-7d6a-46cb-8d24-03c5cee108c1,25,54
6b97e0b2-327d-4b55-84b7-b77c517fc087,17,bf20d0e5-4b79-481a-92d6-3b159ce4d4a0,22,83
6b97e0b2-327d-4b55-84b7-b77c517fc087,20,61b6a185-51b2-47f0-bfa2-7c6615e9e145,21,94
6b97e0b2-327d-4b55-84b7-b77c517fc087,10,d372a3ee-4ff5-48df-a5f2-7da725570f5e,14,84
6b97e0b2-327d-4b55-84b7-b77c517fc087,1,ed65e55c-cdd7-4672-bfd0-37b3a5afd703,4,33
f88fe06a-26db-48b2-8096-66e000259bbf,15,bf20d0e5-4b79-481a-92d6-3b159ce4d4a0,29,93
e8bf1aee-c82e-422f-b7dc-8a3cf7d1ec2b,14,b53f72f1-d162-4f47-a6af-c538db450833,23,6
e8bf1aee-c82e-422f-b7dc-8a3cf7d1ec2b,1,fe8c95dc-f314-472c-a317-83d7bb76fbc9,8,8
f32086f2-c543-4575-a414-6602811c0a9f,18,61b6a185-51b2-47f0-bfa2-7c6615e9e145,14,61
f32086f2-c543-4575-a414-6602811c0a9f,3,7fa4b44f-6167-4bfe-b42b-5494a85f17c0,22,61
f32086f2-c543-4575-a414-6602811c0a9f,15,55a493f1-a88a-4fe2-b666-b93388223926,22,66
40e5475b-979f-479b-8104-7e5b106b8d26,19,aec9a7a7-c8be-461b-8047-f0c97726edf1,13,64
40e5475b-979f-479b-8104-7e5b106b8d26,18,fe8c95dc-f314-472c-a317-83d7bb76fbc9,22,45
40e5475b-979f-479b-8104-7e5b106b8d26,6,c3c774e8-72c0-43bf-8075-97856dc04866,24,30
0daffcaf-9e60-4ce2-921d-54d5cc46149e,9,59424c88-808c-4285-b95a-607928e016a1,4,19
0daffcaf-9e60-4ce2-921d-54d5cc46149e,15,2086fb93-7036-4127-b46f-14b11794fd56,12,26
0daffcaf-9e60-4ce2-921d-54d5cc46149e,3,8eb8ab26-579c-4927-8866-9f0cfb37824a,28,66
0daffcaf-9e60-4ce2-921d-54d5cc46149e,2,ba2adea1-5399-4c45-9c94-9f26f726f62e,6,76
0daffcaf-9e60-4ce2-921d-54d5cc46149e,19,61b6a185-51b2-47f0-bfa2-7c6615e9e145,24,30
c1dd54ba-2b93-423a-b50f-009b0f6718d5,12,a12b297c-6ca7-436c-8318-08b5a05e1eea,10,16
c1dd54ba-2b93-423a-b50f-009b0f6718d5,22,21f1397e-1a61-401a-bc67-1e74523bf8d8,20,35
16b18bdf-0831-4bc9-8ef5-06f4e00353f7,18,ba2adea1-5399-4c45-9c94-9f26f726f62e,6,54
16b18bdf-0831-4bc9-8ef5-06f4e00353f7,2,a12b297c-6ca7-436c-8318-08b5a05e1eea,9,4
16b18bdf-0831-4bc9-8ef5-06f4e00353f7,12,6ddac491-3bfa-420a-8098-f3c741f530b6,25,1
16b18bdf-0831-4bc9-8ef5-06f4e00353f7,6,fc70f172-e0d8-4202-a83b-a8d6cc75de10,12,73
16b18bdf-0831-4bc9-8ef5-06f4e00353f7,19,1a544d73-a68c-4d6c-8d83-98d999716ab5,24,83
2ec737fa-a96e-4ec7-b9fc-235df87d3658,16,61b6a185-51b2-47f0-bfa2-7c6615e9e145,18,73
eb55294c-1e87-4233-8b4d-dd4314eb90a9,10,72d8246e-bd38-49b2-88c7-96f11c51f1fb,15,44
36630481-8344-41bc-93f7-0ceb32b3ee34,7,cff4ee54-8789-46e5-a995-15c0dea35275,9,92
36630481-8344-41bc-93f7-0ceb32b3ee34,1,aec9a7a7-c8be-461b-8047-f0c97726edf1,24,94
36630481-8344-41bc-93f7-0ceb32b3ee34,3,c0969d1b-26f7-4e83-9b27-3a4a0551f760,8,67
36630481-8344-41bc-93f7-0ceb32b3ee34,4,0fc1c0b7-84d2-4abf-91e6-e4a36a1436be,12,24
36630481-8344-41bc-93f7-0ceb32b3ee34,6,d3f82f56-4d74-4c26-a4c7-d20f153383cb,3,26
92d6bd59-705b-4723-9c2a-8d81fb2c117f,13,6ddac491-3bfa-420a-8098-f3c741f530b6,9,77
92d6bd59-705b-4723-9c2a-8d81fb2c117f,2,61b6a185-51b2-47f0-bfa2-7c6615e9e145,21,28
92d6bd59-705b-4723-9c2a-8d81fb2c117f,16,12fa2bc8-2060-41f1-a8ce-0ad8dc7c31e6,23,60
92d6bd59-705b-4723-9c2a-8d81fb2c117f,14,aec9a7a7-c8be-461b-8047-f0c97726edf1,22,24
d77119a1-32b0-4f4b-a4c2-97cc598ec190,18,309c4ad8-2776-4955-b1b5-8ab5409090ad,8,62
0b0bdcf1-a383-46f1-a0c9-7055a9f7acc6,18,cd3a4bbc-f36c-4e3d-9158-9a39dcff7644,21,22
0b0bdcf1-a383-46f1-a0c9-7055a9f7acc6,21,7ceb34df-c5cd-4a6d-bbbd-ba393535b9d2,27,86
0b0bdcf1-a383-46f1-a0c9-7055a9f7acc6,12,0fc1c0b7-84d2-4abf-91e6-e4a36a1436be,23,12
0b0bdcf1-a383-46f1-a0c9-7055a9f7acc6,14,8f8ceb3d-7d6a-46cb-8d24-03c5cee108c1,17,71
5c82cbaa-530c-4b6d-9fa7-a3e95b6c13c4,7,cff4ee54-8789-46e5-a995-15c0dea35275,5,55
5c82cbaa-530c-4b6d-9fa7-a3e95b6c13c4,22,5922b91c-31eb-443e-b15f-acbae8cf8831,12,13
5c82cbaa-530c-4b6d-9fa7-a3e95b6c13c4,3,cab58cac-d2f7-4d2b-bf0b-a391c1d0cb22,25,90
3d5ddb83-a96b-48b2-a693-db9e336fd14f,15,7ceb34df-c5cd-4a6d-bbbd-ba393535b9d2,6,12
3d5ddb83-a96b-48b2-a693-db9e336fd14f,17,295c30fe-615a-4769-bade-21c7e3e975a9,14,12
de5f0a46-6f13-4359-a236-07d67280f05f,14,c3c774e8-72c0-43bf-8075-97856dc04866,2,76
8d5e429f-05a5-4f9b-9f01-122ae3e7430e,19,59424c88-808c-4285-b95a-607928e016a1,1,43
8d5e429f-05a5-4f9b-9f01-122ae3e7430e,11,cd3a4bbc-f36c-4e3d-9158-9a39dcff7644,15,54
f3f7e32d-46a9-492a-b064-1433a95cb57c,10,fc70f172-e0d8-4202-a83b-a8d6cc75de10,9,26
b832eb31-019f-4346-9b18-03771321d7be,13,7ceb34df-c5cd-4a6d-bbbd-ba393535b9d2,25,38
b832eb31-019f-4346-9b18-03771321d7be,14,d7e101e3-1c37-4827-872a-2a9e7994aaab,6,100
b832eb31-019f-4346-9b18-03771321d7be,7,12fa2bc8-2060-41f1-a8ce-0ad8dc7c31e6,15,95
3904bb98-5e55-47d3-87d9-30be9b6dcb82,4,bf20d0e5-4b79-481a-92d6-3b159ce4d4a0,16,67
3904bb98-5e55-47d3-87d9-30be9b6dcb82,14,e4c1ffc2-23bf-4bbc-958a-758263a0dd67,12,28
90465776-bfd3-4b52-8d4e-fcd1ff432911,3,21f1397e-1a61-401a-bc67-1e74523bf8d8,7,99
90465776-bfd3-4b52-8d4e-fcd1ff432911,13,ba2adea1-5399-4c45-9c94-9f26f726f62e,18,33
90465776-bfd3-4b52-8d4e-fcd1ff432911,9,fe8c95dc-f314-472c-a317-83d7bb76fbc9,8,4
90465776-bfd3-4b52-8d4e-fcd1ff432911,7,295c30fe-615a-4769-bade-21c7e3e975a9,8,47
96f024b7-0cf9-40c9-a724-d97cc3ed494f,19,c0969d1b-26f7-4e83-9b27-3a4a0551f760,30,62
96f024b7-0cf9-40c9-a724-d97cc3ed494f,14,fc70f172-e0d8-4202-a83b-a8d6cc75de10,8,83
96f024b7-0cf9-40c9-a724-d97cc3ed494f,2,61b6a185-51b2-47f0-bfa2-7c6615e9e145,28,37
96f024b7-0cf9-40c9-a724-d97cc3ed494f,18,7fa4b44f-6167-4bfe-b42b-5494a85f17c0,25,29
5a47f6c3-64a6-423c-ae75-e475fcd8d301,1,8f8ceb3d-7d6a-46cb-8d24-03c5cee108c1,25,45
5a47f6c3-64a6-423c-ae75-e475fcd8d301,22,7fa4b44f-6167-4bfe-b42b-5494a85f17c0,7,32
5a47f6c3-64a6-423c-ae75-e475fcd8d301,14,c3c774e8-72c0-43bf-8075-97856dc04866,20,30
5a47f6c3-64a6-423c-ae75-e475fcd8d301,20,55a493f1-a88a-4fe2-b666-b93388223926,28,76
af539537-7e58-473f-b85c-8dbd863c37e4,16,57a87455-1a19-4d48-90c9-bd9040670f85,16,56
af539537-7e58-473f-b85c-8dbd863c37e4,21,c3453dc3-772c-4d3b-b535-e058788237ed,21,95
af539537-7e58-473f-b85c-8dbd863c37e4,20,e09c188d-aea7-4cf2-9bb6-6eed739db033,15,30
af539537-7e58-473f-b85c-8dbd863c37e4,4,cd3a4bbc-f36c-4e3d-9158-9a39dcff7644,26,70
4ab12d93-2052-4733-a3c9-68e612716fcc,6,2f638a13-eb24-4d61-ad54-7aaf0b822823,6,86
8338dd73-e95d-4915-bebb-1eb954f59ab3,10,0be1929c-a780-4078-9e98-6df4cf99c936,19,79
8338dd73-e95d-4915-bebb-1eb954f59ab3,3,fc70f172-e0d8-4202-a83b-a8d6cc75de10,10,32
8338dd73-e95d-4915-bebb-1eb954f59ab3,1,a12b297c-6ca7-436c-8318-08b5a05e1eea,18,79
8338dd73-e95d-4915-bebb-1eb954f59ab3,5,cd3a4bbc-f36c-4e3d-9158-9a39dcff7644,3,66
7155bf4b-c68d-4a85-807c-17bd544cbc70,6,12fa2bc8-2060-41f1-a8ce-0ad8dc7c31e6,13,24
7155bf4b-c68d-4a85-807c-17bd544cbc70,13,2086fb93-7036-4127-b46f-14b11794fd56,5,59
7155bf4b-c68d-4a85-807c-17bd544cbc70,7,57a87455-1a19-4d48-90c9-bd9040670f85,13,88
bcaec460-9004-4612-b16f-e32f965aac06,21,0fc1c0b7-84d2-4abf-91e6-e4a36a1436be,9,26
7698255d-f434-4d0f-b142-fa421118e875,12,d4fba2d9-c269-4d11-82f8-e94787f74bc1,29,34
811ae4ef-c4aa-4d21-bbee-433f87d9c7bf,21,80dad91e-02f0-4182-ae63-9bfe710a66b9,24,1
811ae4ef-c4aa-4d21-bbee-433f87d9c7bf,11,e4c1ffc2-23bf-4bbc-958a-758263a0dd67,6,29
811ae4ef-c4aa-4d21-bbee-433f87d9c7bf,13,cab58cac-d2f7-4d2b-bf0b-a391c1d0cb22,9,24
811ae4ef-c4aa-4d21-bbee-433f87d9c7bf,8,21f1397e-1a61-401a-bc67-1e74523bf8d8,22,78
811ae4ef-c4aa-4d21-bbee-433f87d9c7bf,17,309c4ad8-2776-4955-b1b5-8ab5409090ad,29,1
e24e0d27-09af-404c-8d05-2dd3edb83619,2,b53f72f1-d162-4f47-a6af-c538db450833,7,96
e24e0d27-09af-404c-8d05-2dd3edb83619,17,295c30fe-615a-4769-bade-21c7e3e975a9,18,85
e24e0d27-09af-404c-8d05-2dd3edb83619,8,d4fba2d9-c269-4d11-82f8-e94787f74bc1,14,62
cefbd465-34dd-4fce-b1f4-18fb45bf6082,6,cab58cac-d2f7-4d2b-bf0b-a391c1d0cb22,3,92
cefbd465-34dd-4fce-b1f4-18fb45bf6082,3,8913dd3b-624d-4610-837e-ca0063075e6b,17,25
5643b5d9-dd9c-4a42-97e4-bc4eb8745207,18,c3c774e8-72c0-43bf-8075-97856dc04866,29,8
21bc9a71-d2ae-496e-97ee-11fce7030c3d,21,0fc1c0b7-84d2-4abf-91e6-e4a36a1436be,7,29
21bc9a71-d2ae-496e-97ee-11fce7030c3d,9,b53f72f1-d162-4f47-a6af-c538db450833,3,55
21bc9a71-d2ae-496e-97ee-11fce7030c3d,15,c0969d1b-26f7-4e83-9b27-3a4a0551f760,9,98
21bc9a71-d2ae-496e-97ee-11fce7030c3d,14,449de61b-f2b5-406f-8445-17b960996d0a,9,66
295e7de0-6283-4779-89ea-90bece735d16,11,b53f72f1-d162-4f47-a6af-c538db450833,25,88
7236b0ca-6f9c-42c8-87c1-2c9281195289,3,bf20d0e5-4b79-481a-92d6-3b159ce4d4a0,1,96
7236b0ca-6f9c-42c8-87c1-2c9281195289,12,309c4ad8-2776-4955-b1b5-8ab5409090ad,11,60
7236b0ca-6f9c-42c8-87c1-2c9281195289,21,fe8c95dc-f314-472c-a317-83d7bb76fbc9,30,9
7236b0ca-6f9c-42c8-87c1-2c9281195289,10,d3f82f56-4d74-4c26-a4c7-d20f153383cb,11,58
7236b0ca-6f9c-42c8-87c1-2c9281195289,20,7ceb34df-c5cd-4a6d-bbbd-ba393535b9d2,30,91
831f38a3-0b46-4988-bbc6-3b0a13f33d30,12,8eb8ab26-579c-4927-8866-9f0cfb37824a,15,49
831f38a3-0b46-4988-bbc6-3b0a13f33d30,1,8f8ceb3d-7d6a-46cb-8d24-03c5cee108c1,6,90
831f38a3-0b46-4988-bbc6-3b0a13f33d30,9,ba2adea1-5399-4c45-9c94-9f26f726f62e,18,28
9262401d-1aae-4c0b-900b-c00d5714989c,4,e09c188d-aea7-4cf2-9bb6-6eed739db033,22,68
9262401d-1aae-4c0b-900b-c00d5714989c,15,79463069-f838-4edd-9438-cdc4c95e75a2,8,27
9262401d-1aae-4c0b-900b-c00d5714989c,12,c3c774e8-72c0-43bf-8075-97856dc04866,24,48
6c25e819-91d8-43b8-b5d1-6c8fa8eeb7e5,19,79463069-f838-4edd-9438-cdc4c95e75a2,14,24
1f4c5cac-c2dd-44c2-8929-c6f2673525b7,13,cff4ee54-8789-46e5-a995-15c0dea35275,25,29
1f4c5cac-c2dd-44c2-8929-c6f2673525b7,19,295c30fe-615a-4769-bade-21c7e3e975a9,29,76
1f4c5cac-c2dd-44c2-8929-c6f2673525b7,16,7ceb34df-c5cd-4a6d-bbbd-ba393535b9d2,30,32
1f4c5cac-c2dd-44c2-8929-c6f2673525b7,22,ed65e55c-cdd7-4672-bfd0-37b3a5afd703,14,14
4b76ddf5-2ab5-4d13-a7cd-0fcc18b52fcb,11,e1cf4dad-91e9-442f-857c-910eccf92228,29,59
4b76ddf5-2ab5-4d13-a7cd-0fcc18b52fcb,18,b53f72f1-d162-4f47-a6af-c538db450833,12,61
bbda7d88-b735-4169-84d9-676ae0c15fe8,20,6ddac491-3bfa-420a-8098-f3c741f530b6,11,30
bbda7d88-b735-4169-84d9-676ae0c15fe8,15,2d1f121d-f3ba-48f9-aff2-b38da7db30cf,2,25
bbda7d88-b735-4169-84d9-676ae0c15fe8,11,449de61b-f2b5-406f-8445-17b960996d0a,6,94
bbda7d88-b735-4169-84d9-676ae0c15fe8,10,79463069-f838-4edd-9438-cdc4c95e75a2,24,90
bbda7d88-b735-4169-84d9-676ae0c15fe8,19,5922b91c-31eb-443e-b15f-acbae8cf8831,14,83
927387bb-4938-4076-8ab7-c21e7240c33f,1,d7e101e3-1c37-4827-872a-2a9e7994aaab,19,75
927387bb-4938-4076-8ab7-c21e7240c33f,12,7fa4b44f-6167-4bfe-b42b-5494a85f17c0,19,2
71ce8ca7-d3ba-4e50-ad0d-b8ddd0c8ff6a,1,79463069-f838-4edd-9438-cdc4c95e75a2,28,90
71ce8ca7-d3ba-4e50-ad0d-b8ddd0c8ff6a,17,0fc1c0b7-84d2-4abf-91e6-e4a36a1436be,17,99
b37aa86c-c33d-4f08-92f2-3ae31e36342c,8,8f8ceb3d-7d6a-46cb-8d24-03c5cee108c1,21,84
dc07d969-87e1-4911-9866-ec0956fb98f2,5,c3453dc3-772c-4d3b-b535-e058788237ed,16,40
dc07d969-87e1-4911-9866-ec0956fb98f2,14,2d1f121d-f3ba-48f9-aff2-b38da7db30cf,8,5
53796285-1df3-4aa3-a372-68631e657f70,7,61b6a185-51b2-47f0-bfa2-7c6615e9e145,21,72
53796285-1df3-4aa3-a372-68631e657f70,3,d4fba2d9-c269-4d11-82f8-e94787f74bc1,7,20
53796285-1df3-4aa3-a372-68631e657f70,1,cab58cac-d2f7-4d2b-bf0b-a391c1d0cb22,21,19
53796285-1df3-4aa3-a372-68631e657f70,15,61b6a185-51b2-47f0-bfa2-7c6615e9e145,4,42
53796285-1df3-4aa3-a372-68631e657f70,12,d8e46018-304b-49b7-bb5b-d128007be5bd,16,67
