timeslot_id,day,start_time,end_time
1,Wednesday,15:00,19:00
2,Friday,13:00,12:00
3,Thursday,13:00,17:00
4,Monday,16:00,15:00
5,Friday,10:00,11:00
6,Tuesday,15:00,17:00
7,Wednesday,14:00,09:00
8,Thursday,10:00,13:00
9,Friday,11:00,15:00
10,Friday,15:00,09:00
11,Monday,11:00,15:00
12,Tuesday,16:00,11:00
13,Wednesday,08:00,19:00
14,Monday,15:00,18:00
15,Friday,08:00,12:00
16,Thursday,08:00,18:00
17,Friday,13:00,10:00
18,Friday,08:00,11:00
19,Thursday,16:00,18:00
20,Wednesday,18:00,15:00
21,Monday,09:00,14:00
22,Tuesday,15:00,19:00
23,Thursday,18:00,10:00
24,Tuesday,10:00,18:00
25,Thursday,12:00,18:00
26,Thursday,15:00,19:00
27,Friday,18:00,09:00
28,Monday,10:00,17:00
29,Wednesday,13:00,17:00
30,Thursday,18:00,16:00
31,Thursday,17:00,18:00
32,Wednesday,11:00,12:00
33,Wednesday,11:00,12:00
34,Wednesday,13:00,14:00
35,Monday,17:00,16:00
36,Friday,14:00,12:00
37,Monday,17:00,12:00
38,Thursday,16:00,09:00
39,Tuesday,18:00,18:00
40,Tuesday,15:00,14:00
41,Tuesday,17:00,17:00
42,Tuesday,18:00,17:00
43,Wednesday,11:00,09:00
44,Thursday,15:00,11:00
45,Thursday,17:00,18:00
46,Tuesday,12:00,18:00
47,Tuesday,17:00,13:00
48,Monday,09:00,13:00
49,Friday,15:00,15:00
50,Monday,16:00,16:00
51,Thursday,13:00,12:00
52,Wednesday,13:00,11:00
53,Tuesday,17:00,15:00
54,Thursday,10:00,17:00
55,Wednesday,16:00,14:00
56,Tuesday,12:00,10:00
57,Thursday,11:00,16:00
58,Monday,11:00,17:00
59,Thursday,11:00,14:00
60,Friday,10:00,17:00
61,Friday,15:00,16:00
62,Friday,10:00,14:00
63,Friday,17:00,10:00
64,Monday,14:00,17:00
65,Thursday,13:00,18:00
66,Monday,16:00,17:00
67,Wednesday,14:00,17:00
68,Wednesday,15:00,13:00
69,Friday,18:00,16:00
70,Friday,16:00,15:00
71,Friday,17:00,09:00
72,Friday,08:00,09:00
73,Thursday,14:00,15:00
74,Wednesday,13:00,15:00
75,Wednesday,13:00,12:00
76,Friday,11:00,13:00
77,Thursday,13:00,11:00
78,Tuesday,14:00,10:00
79,Wednesday,14:00,18:00
80,Monday,15:00,12:00
81,Wednesday,10:00,18:00
82,Thursday,15:00,10:00
83,Thursday,10:00,17:00
84,Tuesday,16:00,19:00
85,Friday,17:00,16:00
86,Wednesday,08:00,14:00
87,Friday,12:00,19:00
88,Thursday,09:00,16:00
89,Friday,13:00,18:00
90,Thursday,09:00,19:00
91,Friday,17:00,13:00
92,Tuesday,11:00,10:00
93,Thursday,11:00,12:00
94,Tuesday,17:00,15:00
95,Friday,12:00,13:00
96,Thursday,16:00,17:00
97,Friday,15:00,19:00
98,Wednesday,08:00,11:00
99,Wednesday,18:00,09:00
100,Tuesday,17:00,15:00
